#TYPE System.Collections.DictionaryEntry,,,
Name,Key,Value,
CUMMINGS ST & ZONAL AV ,CUMMINGS ST & ZONAL AV ,3,0.000627484
THE ROW NORTH ALLEY ,THE ROW NORTH ALLEY ,3,0.000627484
MCCLINTOCK BUILDING ,MCCLINTOCK BUILDING ,3,0.000627484
SAN PABLO ST & ZONAL AV ,SAN PABLO ST & ZONAL AV ,3,0.000627484
SHRINE AUDITORIUM ,SHRINE AUDITORIUM ,3,0.000627484
JEFFERSON BUILDING ,JEFFERSON BUILDING ,3,0.000627484
OFF CAMPUS CHECK AREA C ,OFF CAMPUS CHECK AREA C ,3,0.000627484
TROJAN LIQUOR ,TROJAN LIQUOR ,3,0.000627484
MERLE NORMAN STADIUM ,MERLE NORMAN STADIUM ,3,0.000627484
33RD ST & HOPE ST ,33RD ST & HOPE ST ,3,0.000627484
SCENE DOCK THEATRE ,SCENE DOCK THEATRE ,3,0.000627484
THE ROW AREA ,THE ROW AREA ,3,0.000627484
34TH ST & MCCLINTOCK AV ,34TH ST & MCCLINTOCK AV ,3,0.000627484
MARKS TENNIS STADIUM COURT AREA ,MARKS TENNIS STADIUM COURT AREA ,3,0.000627484
CARIBBEAN APARTMENTS ,CARIBBEAN APARTMENTS ,3,0.000627484
CATALINA ST ,CATALINA ST ,3,0.000627484
JERRY & NANCY NEELY PETROLEUM & CHEMICAL ENGINEERI ,JERRY & NANCY NEELY PETROLEUM & CHEMICAL ENGINEERI ,3,0.000627484
